                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4058,                 2.1751,                 1.4678,                0.43917,                0.45199,                0.37817,                0.19193,                 1.7295,                 3.5071,                 1.6474,             0.00055398,             0.00055398,             0.00055398
                      2,                 1.4779,                 1.8943,                 1.5228,                 0.4806,                0.36571,                0.39252,                0.24747,                 1.8001,                 2.4193,                 1.8473,              0.0010657,              0.0010657,              0.0010657
                      3,                 1.4713,                 1.8444,                 1.5206,                0.44701,                0.46061,                0.41498,                0.21285,                  1.858,                 2.1346,                 1.8444,              0.0015334,              0.0015334,              0.0015334
                      4,                 1.4636,                 1.7622,                 1.5087,                0.55029,                 0.4762,                 0.5037,                 0.2949,                 1.7009,                 1.9151,                 1.6816,               0.001469,               0.001469,               0.001469
                      5,                 1.4062,                 1.6248,                 1.4596,                 0.7053,                0.56634,                0.62616,                0.37521,                 1.5811,                  1.545,                 1.5574,               0.001469,               0.001469,               0.001469
                      6,                  1.352,                 1.5326,                 1.4321,                0.67254,                0.55798,                 0.6085,                0.34679,                 1.6279,                 1.6118,                 1.6161,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.3268,                 1.4972,                 1.4187,                0.73197,                0.59712,                0.67946,                0.41224,                 1.4722,                  1.396,                 1.4576,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2795,                 1.3887,                 1.3846,                0.69153,                0.66753,                0.68322,                0.41331,                 1.4707,                   1.34,                 1.4804,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.2771,                 1.3853,                 1.3728,                0.79315,                0.63699,                0.72481,                0.45257,                 1.4271,                 1.2389,                 1.4319,              0.0012049,              0.0012049,              0.0012049
                     10,                  1.227,                 1.2922,                 1.3412,                0.74078,                0.65984,                0.73462,                 0.4536,                 1.3921,                 1.2493,                 1.4188,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.2125,                 1.2695,                 1.3342,                0.78557,                0.67876,                0.75316,                0.46697,                 1.3906,                  1.203,                 1.4091,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.2057,                 1.2361,                 1.3293,                0.78704,                0.65932,                0.74542,                0.47628,                 1.3894,                 1.2171,                  1.422,              0.0010069,              0.0010069,              0.0010069
                     13,                  1.193,                 1.2031,                 1.3161,                 0.8296,                0.70209,                0.79439,                0.51118,                 1.3623,                 1.0665,                 1.3693,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.1596,                 1.1599,                 1.2971,                0.85432,                0.69373,                0.79439,                0.49745,                 1.3659,                 1.0778,                 1.3758,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.1566,                 1.1363,                 1.2931,                0.85094,                0.71541,                0.82001,                 0.5244,                 1.3301,                 1.0285,                 1.3408,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.1622,                0.97937,                 1.2923,                0.85938,                0.73146,                0.82006,                0.52661,                 1.3242,                  1.013,                 1.3419,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.1321,                0.91037,                  1.273,                0.84896,                0.74005,                0.83029,                 0.5424,                  1.278,                0.96921,                 1.2951,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.1157,                0.88315,                 1.2637,                0.87443,                0.76536,                0.85003,                0.57128,                 1.2458,                0.91325,                  1.289,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.0794,                0.82729,                 1.2311,                0.85417,                0.75322,                0.83787,                0.55436,                 1.2651,                0.92259,                 1.2999,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.0689,                0.80048,                  1.224,                0.88293,                0.77689,                0.86606,                0.57566,                 1.2381,                0.86416,                 1.2617,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.0462,                0.75703,                 1.2063,                0.87025,                0.78789,                0.86522,                0.57459,                 1.2355,                0.85071,                 1.2658,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.0272,                0.73344,                 1.1966,                0.88139,                0.79484,                0.87475,                0.58481,                  1.214,                0.83055,                 1.2572,             0.00034674,             0.00034674,             0.00034674
                     23,                0.99783,                0.71134,                 1.1741,                0.86386,                0.80959,                0.87779,                0.59966,                 1.1957,                0.80218,                 1.2371,             0.00028072,             0.00028072,             0.00028072
                     24,                0.98447,                0.67602,                 1.1683,                 0.9101,                0.79378,                0.88447,                0.60019,                 1.1922,                0.78575,                  1.236,             0.00021471,             0.00021471,             0.00021471
                     25,                0.96379,                0.65414,                 1.1594,                0.90256,                0.80215,                0.88913,                0.60605,                 1.1786,                0.77141,                 1.2232,              0.0001487,              0.0001487,              0.0001487
